"","Module","Symbol","X0rder","Function","Module_gene"
"297","M7.3","PIK3CG",6114,"M7.3","M7.3_PIK3CG"
"298","M7.4","ITGAE",6213,"M7.4","M7.4_ITGAE"
"299","M7.4","CASP3",6225,"M7.4","M7.4_CASP3"
"300","M7.4","MAP4K2",6227,"M7.4","M7.4_MAP4K2"
"301","M7.4","GPI",6229,"M7.4","M7.4_GPI"
"302","M7.4","NUP107",6232,"M7.4","M7.4_NUP107"
"303","M7.4","ABL1",6261,"M7.4","M7.4_ABL1"
"304","M7.4","CYFIP2",6265,"M7.4","M7.4_CYFIP2"
"305","M7.5","IL12RB1",6292,"M7.5","M7.5_IL12RB1"
"306","M7.5","ATG5",6334,"M7.5","M7.5_ATG5"
"307","M7.5","ZNF2",6374,"M7.5","M7.5_ZNF2"
"308","M7.5","TNFRSF10B",6416,"M7.5","M7.5_TNFRSF10B"
"309","M7.6","ST6GAL1",6433,"M7.6.Proliferation","M7.6_ST6GAL1"
"310","M7.6","CARD11",6472,"M7.6.Proliferation","M7.6_CARD11"
"311","M7.6","HRAS",6482,"M7.6.Proliferation","M7.6_HRAS"
"312","M7.7","CD70",6541,"M7.7.Proliferation","M7.7_CD70"
"313","M7.7","IRF4",6582,"M7.7.Proliferation","M7.7_IRF4"
"314","M7.7","PBK",6607,"M7.7.Proliferation","M7.7_PBK"
"315","M7.7","IL12A",6622,"M7.7.Proliferation","M7.7_IL12A"
"316","M7.8","HAVCR2",6685,"M7.8.Cell Cycle","M7.8_HAVCR2"
"317","M7.8","SPA17",6731,"M7.8.Cell Cycle","M7.8_SPA17"
"318","M7.9","RELA",6788,"M7.9","M7.9_RELA"
"319","M7.9","EWSR1",6797,"M7.9","M7.9_EWSR1"
"320","M7.9","NFKB1",6801,"M7.9","M7.9_NFKB1"
"321","M7.9","TAPBP",6815,"M7.9","M7.9_TAPBP"
"322","M7.9","PRPF3",6865,"M7.9","M7.9_PRPF3"
"323","M7.9","PSMD7",6884,"M7.9","M7.9_PSMD7"
"324","M7.9","CTSH",6885,"M7.9","M7.9_CTSH"
"325","M7.9","NLRP3",6899,"M7.9","M7.9_NLRP3"
"326","M7.9","HLA-A",6921,"M7.9","M7.9_HLA-A"
"327","M7.10","F12",6943,"M7.10","M7.10_F12"
"328","M7.10","PDGFC",7024,"M7.10","M7.10_PDGFC"
"329","M7.10","IL1RAP",7051,"M7.10","M7.10_IL1RAP"
"330","M7.11","PNMA1",7122,"M7.11","M7.11_PNMA1"
"331","M7.12","ILF3",7193,"M7.12","M7.12_ILF3"
"332","M7.12","RORC",7219,"M7.12","M7.12_RORC"
"333","M7.12","CD1C",7284,"M7.12","M7.12_CD1C"
"334","M7.13","MS4A2",7320,"M7.13","M7.13_MS4A2"
"335","M7.13","MST1",7350,"M7.13","M7.13_MST1"
"336","M7.13","CCL23",7354,"M7.13","M7.13_CCL23"
"337","M7.13","SMPD3",7373,"M7.13","M7.13_SMPD3"
"338","M7.13","CCR3",7381,"M7.13","M7.13_CCR3"
"339","M7.13","IL11RA",7406,"M7.13","M7.13_IL11RA"
"340","M7.14","IL18",7436,"M7.14","M7.14_IL18"
"341","M7.14","TAPBP",7454,"M7.14","M7.14_TAPBP"
"342","M7.15","TFEB",7488,"M7.15","M7.15_TFEB"
"343","M7.15","TFE3",7499,"M7.15","M7.15_TFE3"
"344","M7.15","FAS",7501,"M7.15","M7.15_FAS"
"345","M7.15","NOTCH1",7512,"M7.15","M7.15_NOTCH1"
"346","M7.15","IRF1",7528,"M7.15","M7.15_IRF1"
"347","M7.15","SPP1",7538,"M7.15","M7.15_SPP1"
"348","M7.15","RELB",7544,"M7.15","M7.15_RELB"
"349","M7.15","ITGAX",7545,"M7.15","M7.15_ITGAX"
"350","M7.16","IL1RN",7595,"M7.16.DC/Apoptosis","M7.16_IL1RN"
"351","M7.16","CLEC6A",7600,"M7.16.DC/Apoptosis","M7.16_CLEC6A"
"352","M7.16","CSF2RB",7603,"M7.16.DC/Apoptosis","M7.16_CSF2RB"
"353","M7.16","NOD2",7604,"M7.16.DC/Apoptosis","M7.16_NOD2"
"354","M7.16","CD274",7605,"M7.16.DC/Apoptosis","M7.16_CD274"
"355","M7.16","JAK2",7608,"M7.16.DC/Apoptosis","M7.16_JAK2"
"356","M7.16","IRAK2",7614,"M7.16.DC/Apoptosis","M7.16_IRAK2"
"357","M7.16","TAP2",7619,"M7.16.DC/Apoptosis","M7.16_TAP2"
"358","M7.17","IL10RA",7641,"M7.17","M7.17_IL10RA"
